KIDNAPPING,2
KIDNAPPING AND RELATED OFFENSES,2
UNDER THE INFLUENCE OF DRUGS,3
OFFENSES AGAINST MARRIAGE UNCL,3
ABORTION,4
OTHER STATE LAWS (NON PENAL LAW),4
NYS LAWS-UNCLASSIFIED VIOLATION,6
FORTUNE TELLING,11
OTHER TRAFFIC INFRACTION,13
LOITERING/DEVIATE SEX,16
ADMINISTRATIVE CODES,18
LOITERING,20
LOITERING FOR DRUG PURPOSES,23
HOMICIDE-NEGLIGENT,UNCLASSIFIE,33
DISRUPTION OF A RELIGIOUS SERV,47
INTOXICATED/IMPAIRED DRIVING,48
UNLAWFUL POSS. WEAP. ON SCHOOL,59
NEW YORK CITY HEALTH CODE,75
AGRICULTURE & MRKTS LAW-UNCLASSIFIED,83
HOMICIDE-NEGLIGENT-VEHICLE,93
ANTICIPATORY OFFENSES,95
ENDAN WELFARE INCOMP,144
ESCAPE 3,167
LOITERING/GAMBLING (CARDS, DIC,207
OTHER STATE LAWS,233
JOSTLING,299
CHILD ABANDONMENT/NON SUPPORT,367
ALCOHOLIC BEVERAGE CONTROL LAW,750
OFFENSES AGAINST PUBLIC SAFETY,810
DISORDERLY CONDUCT,829
PROSTITUTION & RELATED OFFENSES,842
PETIT LARCENY OF MOTOR VEHICLE,908
OFFENSES RELATED TO CHILDREN,1346
GAMBLING,2023
KIDNAPPING & RELATED OFFENSES,2300
BURGLAR'S TOOLS,2477
FRAUDULENT ACCOSTING,2645
THEFT OF SERVICES,2778
NYS LAWS-UNCLASSIFIED FELONY,3755
MURDER & NON-NEGL. MANSLAUGHTER,4574
OTHER STATE LAWS (NON PENAL LA,5505
OTHER OFFENSES RELATED TO THEF,9731
ADMINISTRATIVE CODE,11383
OFFENSES AGAINST THE PERSON,12339
RAPE,13791
UNAUTHORIZED USE OF A VEHICLE,13826
ARSON,13984
OFFENSES INVOLVING FRAUD,17737
,18840
POSSESSION OF STOLEN PROPERTY,29488
FRAUDS,32054
FORGERY,49303
SEX CRIMES,54970
THEFT-FRAUD,56762
VEHICLE AND TRAFFIC LAWS,59140
CRIMINAL TRESPASS,66544
INTOXICATED & IMPAIRED DRIVING,73730
OFFENSES AGAINST PUBLIC ADMINI,100118
GRAND LARCENY OF MOTOR VEHICLE,102061
MISCELLANEOUS PENAL LAW,118721
DANGEROUS WEAPONS,124235
FELONY ASSAULT,184069
BURGLARY,191406
ROBBERY,198772
OFF. AGNST PUB ORD SENSBLTY &,283065
DANGEROUS DRUGS,348469
GRAND LARCENY,429196
CRIMINAL MISCHIEF & RELATED OF,505774
ASSAULT 3 & RELATED OFFENSES,521538
HARRASSMENT 2,604070
PETIT LARCENY,822498
