814,1
839,1
146,1
148,1
819,1
678,1
815,1
522,1
885,1
975,1
846,2
860,2
178,2
184,2
820,2
523,2
614,2
836,2
861,2
694,2
787,2
387,2
162,3
796,3
396,3
689,3
646,3
622,3
589,3
845,3
119,3
685,3
427,4
574,4
737,4
827,4
843,4
143,4
786,4
355,5
513,5
561,6
664,6
693,7
868,8
618,9
866,10
822,10
821,10
648,10
394,10
840,10
468,11
186,12
281,12
715,13
784,13
969,13
733,14
593,14
299,15
697,15
248,15
436,15
121,15
588,15
864,15
584,16
602,16
797,16
756,17
342,17
691,17
476,17
872,18
619,18
283,19
275,20
285,22
698,22
586,23
604,23
530,24
345,24
289,27
844,27
669,27
381,28
585,29
889,30
587,30
533,31
775,31
662,32
803,33
125,33
265,33
344,36
892,38
887,39
818,40
291,40
817,41
811,42
553,42
780,43
888,44
529,45
663,46
532,46
627,47
904,48
297,49
641,50
107,51
429,51
890,51
373,55
445,58
595,59
721,64
605,64
327,66
591,69
195,70
122,78
754,79
557,80
537,82
746,84
706,86
687,94
766,95
293,99
576,107
701,111
829,115
423,118
688,122
841,125
331,126
645,129
674,132
176,135
491,135
434,138
323,138
672,141
594,142
874,142
719,145
563,149
531,149
880,150
261,161
899,163
385,164
633,167
742,167
431,168
187,176
770,177
393,185
849,186
351,191
365,195
711,197
812,200
862,203
696,204
610,207
853,209
104,220
166,220
350,226
371,231
789,233
762,242
524,247
498,247
799,255
447,260
174,265
329,279
826,282
180,288
464,299
164,302
185,315
659,322
879,329
858,332
363,333
548,333
477,339
479,354
695,367
450,380
772,384
808,396
565,396
360,396
520,404
266,432
519,434
426,455
647,462
703,463
341,469
781,491
665,495
788,539
764,565
727,573
509,587
395,597
234,642
761,650
428,672
596,675
435,692
112,704
432,704
907,725
918,729
644,729
724,741
802,750
652,766
110,786
193,806
514,806
379,807
625,842
271,852
111,863
570,946
643,977
191,977
375,998
183,1003
730,1019
347,1049
455,1096
683,1124
199,1176
442,1184
731,1234
848,1309
197,1315
437,1348
244,1372
430,1419
159,1426
507,1428
277,1435
241,1449
366,1455
544,1455
177,1467
408,1521
391,1554
155,1605
181,1631
201,1634
744,1647
502,1670
505,1714
489,1786
508,1786
380,1797
493,1819
153,1821
392,1885
409,2105
377,2189
335,2202
708,2256
418,2341
402,2354
512,2358
204,2446
416,2447
209,2477
243,2528
233,2539
466,2645
390,2693
475,2778
170,2907
367,2930
568,2970
410,3022
425,3070
414,3073
411,3088
361,3104
273,3111
443,3137
420,3138
779,3303
413,3363
501,3411
168,3430
723,3480
809,3535
268,3582
510,3605
847,3733
725,3747
406,3752
422,3828
640,3843
424,4140
179,4243
214,4387
,4574
264,4621
515,4788
307,4895
231,4908
303,4997
382,5121
461,5368
404,5369
521,5585
566,5769
649,5965
256,6277
412,6332
389,6367
305,6496
203,6543
407,6692
313,6702
398,6745
494,7046
451,7520
401,7710
661,8031
301,8052
384,8410
417,8547
157,8940
792,9024
263,9203
478,9581
115,9660
878,9689
569,10427
500,11460
760,11522
105,11648
399,11747
114,12369
211,12389
433,12426
707,13347
457,13499
415,13510
462,13826
681,14081
224,14122
403,15186
748,15917
922,16956
388,17410
705,17528
117,17842
718,17925
106,18376
490,20242
503,20588
386,21717
213,23739
759,25229
343,26579
439,26652
175,26779
750,28238
269,30813
749,30952
357,32804
267,34445
349,36251
223,40815
793,41046
916,41455
729,41503
405,42892
421,48550
419,49615
198,54032
739,54563
205,60001
113,70185
905,73005
782,73653
339,76594
221,82516
258,89416
441,91883
397,99645
511,99943
438,121739
259,146449
109,154046
567,173044
321,178035
254,188807
333,215446
338,221734
637,235959
639,281278
638,368119
101,438130
